epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4873,1.13642,4.44009,1.49606,0,0,0,0,1.20389,4.88956,1.80472,1.665e-05,1.665e-05,1.665e-05
2,34.6391,0.98626,4.34973,1.36576,0,0,0,0,0.7734,4.59092,1.37429,3.62674e-05,3.62674e-05,3.62674e-05
3,47.6336,0.92285,4.29225,1.36741,0,0,0,0,0.58677,4.56459,1.2066,5.54891e-05,5.54891e-05,5.54891e-05
4,59.9699,0.71346,3.99741,1.20798,0,0,0,0,0.5997,4.54047,1.20412,7.43153e-05,7.43153e-05,7.43153e-05
5,72.9353,0.68059,3.82567,1.21737,0,0,0,0,0.6157,4.53798,1.22447,9.27458e-05,9.27458e-05,9.27458e-05
6,85.9025,0.64451,3.62142,1.07327,0,0,0,0,0.54238,4.51353,1.19364,0.000110781,0.000110781,0.000110781
7,98.1587,0.67692,3.23818,1.10095,1,0.33333,0.66665,0.59999,0.57711,4.38368,1.22203,0.00012842,0.00012842,0.00012842
8,110.313,0.62518,2.95822,1.10836,1,0.66667,0.8333,0.66706,0.59473,4.29894,1.25226,0.000145664,0.000145664,0.000145664
9,122.545,0.57342,2.59534,1.05107,0.75,1,0.995,0.78875,0.61422,4.20435,1.26149,0.000162512,0.000162512,0.000162512
10,135.309,0.56596,2.39377,1.06576,0.3,1,0.995,0.81423,0.69234,3.76797,1.33,0.000178965,0.000178965,0.000178965
11,147.863,0.6125,1.9328,1.09018,0.47478,1,0.995,0.83698,0.67676,3.39394,1.36224,0.000195021,0.000195021,0.000195021
12,160.605,0.7431,1.94436,1.25204,1,0.66254,0.995,0.83511,0.64174,2.82658,1.35667,0.000210683,0.000210683,0.000210683
13,173.382,0.64058,1.69481,1.11992,1,0.99521,0.995,0.83134,0.63489,2.07752,1.3669,0.000225948,0.000225948,0.000225948
14,185.446,0.65643,1.72263,1.14943,0.98647,1,0.995,0.81426,0.60056,1.58092,1.32056,0.000240819,0.000240819,0.000240819
15,197.554,0.66721,1.76812,1.12187,0.98647,1,0.995,0.81426,0.60056,1.58092,1.32056,0.000255293,0.000255293,0.000255293
16,209.767,0.61976,1.65192,1.19274,0.98339,1,0.995,0.8955,0.54079,1.70879,1.19451,0.000269372,0.000269372,0.000269372
17,221.736,0.60993,1.57693,1.13479,0.97789,1,0.995,0.93028,0.4907,2.09692,1.10396,0.000280253,0.000280253,0.000280253
18,233.184,0.66687,1.46393,1.11788,0.97733,1,0.995,0.8955,0.54736,2.13216,1.12389,0.000276956,0.000276956,0.000276956
19,245.168,0.62271,1.3808,1.07602,0.97733,1,0.995,0.8955,0.54736,2.13216,1.12389,0.000273659,0.000273659,0.000273659
